comp_id,method,node,loop_id
284,java.util.jar.Manifest$FastInputStream.readLine,b7,0
284,java.util.jar.Manifest$FastInputStream.readLine,b8,0
284,java.util.jar.Manifest$FastInputStream.readLine,b9,0
284,java.util.jar.Manifest$FastInputStream.readLine,b10,0
284,java.util.jar.Manifest$FastInputStream.readLine,b11,0
284,java.util.jar.Manifest$FastInputStream.readLine,b12,0
284,java.util.jar.Manifest$FastInputStream.readLine,b13,0
284,java.util.jar.Manifest$FastInputStream.readLine,b15,0
284,java.util.jar.Manifest$FastInputStream.readLine,b16,0
284,java.util.jar.Manifest$FastInputStream.readLine,b17,0
284,java.util.jar.Manifest$FastInputStream.readLine,b18,0
284,java.util.jar.Manifest$FastInputStream.readLine,b21,0
284,java.util.jar.Manifest$FastInputStream.readLine,b22,0
284,java.util.jar.Manifest$FastInputStream.readLine,b23,1
284,java.util.jar.Manifest$FastInputStream.readLine,b24,1
284,java.util.jar.Manifest$FastInputStream.readLine,b25,1
284,java.util.jar.Manifest$FastInputStream.readLine,b27,1
284,java.util.jar.Manifest$FastInputStream.readLine,b28,0
284,java.util.jar.Manifest$FastInputStream.readLine,b29,0
284,java.util.jar.Manifest$FastInputStream.readLine,b32,0
284,java.util.jar.Manifest$FastInputStream.readLine,b33,0
284,java.util.jar.Manifest$FastInputStream.readLine,b34,0
284,java.util.jar.Manifest$FastInputStream.readLine,b35,0
284,java.util.jar.Manifest$FastInputStream.readLine,b36,0
284,java.util.jar.Manifest$FastInputStream.readLine,b37,0
284,java.util.jar.Manifest$FastInputStream.readLine,b41,0
284,java.util.jar.Manifest$FastInputStream.readLine,b42,0
284,java.util.jar.Manifest$FastInputStream.readLine,b43,0
284,java.util.jar.Manifest$FastInputStream.readLine,b45,0
284,java.util.jar.Manifest$FastInputStream.readLine,b47,0
284,java.util.jar.Manifest$FastInputStream.readLine,b49,0
284,java.util.jar.Manifest$FastInputStream.readLine,b51,0
284,java.util.jar.Manifest$FastInputStream.readLine,b53,0
284,java.util.jar.Manifest$FastInputStream.readLine,b54,0
284,java.util.jar.Manifest$FastInputStream.readLine,b55,0
284,java.util.jar.Manifest$FastInputStream.readLine,b56,0
285,java.util.HashMap.getNode,b35,0
285,java.util.HashMap.getNode,b36,0
285,java.util.HashMap.getNode,b37,0
285,java.util.HashMap.getNode,b39,0
285,java.util.HashMap.getNode,b40,0
285,java.util.HashMap.getNode,b41,0
285,java.util.HashMap.getNode,b42,0
285,java.util.HashMap.getNode,b43,0
287,java.util.HashMap.get,b35,0
287,java.util.HashMap.get,b39,0
287,java.util.HashMap.get,b40,0
