benchmark,median_total_samples_bubo_off,median_total_samples_bubo_on
Sieve,13593506,21520221

method,n_runs_off,median_samples_bubo_off,n_runs_on,median_samples_bubo_on,diff_on_minus_off,pct_change_vs_off
LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.schedule.SchedulePhase$Instance$MicroBlock* LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.schedule.SchedulePhase$Instance::processInputs,1,76,0,,,
Monitor::wait_without_safepoint_check,0,,3,96,,
PlatformMonitor::wait,0,,1,59,,
Thread::claim_par_threads_do,0,,2,72,,
__GI___pthread_cond_timedwait,0,,3,78,,
__libc_free,2,74,0,,,
__put_user_8_[k],0,,2,55,,
__strchr_avx2,3,73,0,,,
blk_cgroup_congested_[k],0,,1,69,,
boolean java.lang.String::equals,0,,1,79,,
byte[]* java.lang.AbstractStringBuilder::ensureCapacityNewCoder,0,,2,77,,
byte[]* java.util.Arrays::copyOfRange,0,,2,84,,
char java.lang.StringLatin1::charAt,0,,1,79,,
charge_memcg_[k],1,65,0,,,
do_syscall_64_[k],1,59,0,,,
filldir64_[k],3,66,0,,,
futex_wait_[k],2,59,0,,,
generic_exec_single_[k],1,42,0,,,
java.io.BufferedOutputStream.write,0,,1,74,,
java.io.PrintStream.println,1,91,0,,,
java.lang.String$$StringConcat.0x000000000d044000.concat,1,160,0,,,
java.lang.String$$StringConcat.0x000000001a044000.concat,0,,1,151,,
java.lang.String$$StringConcat.0x0000000061044000.concat,0,,1,166,,
java.lang.String$$StringConcat.0x000000006e044000.concat,0,,1,174,,
java.lang.String$$StringConcat.0x0000000078044000.concat,1,146,0,,,
java.lang.String$$StringConcat.0x000000009c044000.concat,1,121,0,,,
java.lang.String.hashCode,0,,3,3978033,,
java.lang.StringConcatHelper.stringOf,1,77,0,,,
java.lang.invoke.LambdaForm$DMH.0x000000000d044400.invokeSpecial,1,78,0,,,
java.lang.invoke.LambdaForm$DMH.0x000000001a044400.invokeSpecial,0,,1,76,,
java.lang.invoke.LambdaForm$DMH.0x0000000061044400.invokeSpecial,0,,1,82,,
java.lang.invoke.LambdaForm$DMH.0x0000000078044400.invokeSpecial,1,73,0,,,
java.lang.invoke.LambdaForm$DMH.0x000000009c044400.invokeSpecial,1,73,0,,,
java.lang.invoke.LambdaForm$MH.0x000000000d045000.invoke,1,93,0,,,
java.lang.invoke.LambdaForm$MH.0x000000000d045400.linkToTargetMethod,1,76,0,,,
java.lang.invoke.LambdaForm$MH.0x000000001a045000.invoke,0,,1,88,,
java.lang.invoke.LambdaForm$MH.0x000000001a045400.linkToTargetMethod,0,,1,92,,
java.lang.invoke.LambdaForm$MH.0x0000000061045400.linkToTargetMethod,0,,1,84,,
java.lang.invoke.LambdaForm$MH.0x000000006e045000.invoke,0,,1,78,,
java.lang.invoke.LambdaForm$MH.0x000000006e045400.linkToTargetMethod,0,,1,80,,
java.lang.invoke.LambdaForm$MH.0x0000000078045000.invoke,1,90,0,,,
java.lang.invoke.LambdaForm$MH.0x0000000078045400.linkToTargetMethod,1,85,0,,,
java.lang.invoke.LambdaForm$MH.0x000000009c045000.invoke,1,84,0,,,
java.lang.invoke.LambdaForm$MH.0x000000009c045400.linkToTargetMethod,1,69,0,,,
jdk.internal.misc.Blocker.begin,3,72,0,,,
jdk.internal.util.ArraysSupport.unsignedHashCode,0,,1,75,,
long LibGraalClassLoader_6d026701::jdk.graal.compiler.hotspot.meta.Bubo.BuboNativeBuffers::readCyclesAt,0,,2,75,,
long LibGraalClassLoader_6d026701::jdk.graal.compiler.serviceprovider.GlobalAtomicLong::getAddress,0,,2,80,,
restore_fpregs_from_user_[k],1,43,0,,,
sun.nio.cs.StreamEncoder.writeBytes,1,78,0,,,
void LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.cfg.ReversePostOrder::compute,1,67,0,,,
void LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.loop.LoopFragment::markFloating,1,70,0,,,
"void QuickSort::sort<unsigned int, int (*)(unsigned int, unsigned int)>",1,45,0,,,
