benchmark,median_total_samples_bubo_off,median_total_samples_bubo_on
Mandelbrot,8446398,10823012

method,n_runs_off,median_samples_bubo_off,n_runs_on,median_samples_bubo_on,diff_on_minus_off,pct_change_vs_off
LibGraalClassLoader_6d026701::jdk.vm.ci.code.CallingConvention* LibGraalClassLoader_6d026701::jdk.vm.ci.hotspot.amd64.AMD64HotSpotRegisterConfig::callingConvention,3,46,3,54,8,17.391304347826086
Run.printResult,2,43,2,35,-8,-18.6046511627907
SymbolTable::lookup_shared,3,128,3,136,8,6.25
boolean com.oracle.svm.graal.stubs.SVMIntrinsicStubsGen::arrayRegionEqualsS1S1,3,41,3,49,8,19.51219512195122
c2v_notifyCompilerPhaseEvent,2,32,2,40,8,25.0
java.lang.Object* org.graalvm.collections.EconomicMapImpl::put,3,66,3,74,8,12.121212121212121
java.lang.String.length,2,37,3,45,8,21.62162162162162
jdk.internal.classfile.impl.SplitConstantPool.utf8Entry,3,35,2,43,8,22.857142857142858
jdk.internal.util.DecimalDigits.uncheckedPutCharLatin1,2,34,2,42,8,23.52941176470588
methodHandle::~methodHandle,3,37,3,45,8,21.62162162162162
void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeBitMap::mark,3,35,2,43,8,22.857142857142858
CodeCache::find_blob,2,38,2,31,-7,-18.421052631578945
LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Node* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Graph::findDuplicate,3,56,3,49,-7,-12.5
LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.FixedNode* LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.AbstractBeginNode$BlockNodeIterator::next,3,70,3,77,7,10.0
boolean LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.common.CanonicalizerPhase::processNode,3,44,3,51,7,15.909090909090908
byte[]* java.lang.AbstractStringBuilder::ensureCapacityNewCoder,3,50,3,57,7,14.000000000000002
filemap_map_pages_[k],3,38,2,45,7,18.421052631578945
int LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.cfg.HIRBlock$ModifiableBlock::getPredecessorCount,1,31,1,38,7,22.58064516129032
java.util.concurrent.ConcurrentHashMap.tabAt,3,40,3,33,-7,-17.5
java.util.concurrent.ConcurrentHashMap.transfer,3,84,3,91,7,8.333333333333332
void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeWorkList$QueueConsumingIterator::dropDeleted,3,51,3,44,-7,-13.725490196078432
void java.util.ArrayList::add,3,123,3,130,7,5.691056910569105
ConstantPool::klass_at_impl,3,36,3,42,6,16.666666666666664
__GI___pthread_mutex_unlock_usercnt,3,41,3,47,6,14.634146341463413
boolean LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeBitMap::isMarked,3,78,3,72,-6,-7.6923076923076925
boolean LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.common.CanonicalizerPhase::tryCanonicalize,3,56,3,62,6,10.714285714285714
handle_mm_fault_[k],2,35,2,41,6,17.142857142857142
int org.graalvm.collections.EconomicMapImpl::findHash,3,64,3,58,-6,-9.375
int org.graalvm.collections.EconomicMapImpl::getHashIndex,3,71,3,65,-6,-8.450704225352112
int org.graalvm.collections.EconomicMapImpl::getHashTableSize,3,42,2,36,-6,-14.285714285714285
java.io.BufferedOutputStream.write,3,39,2,45,6,15.384615384615385
java.lang.Object[]* java.util.Arrays::copyOf,3,44,3,50,6,13.636363636363635
java.lang.StringCoding.implEncodeAsciiArray,3,68,3,74,6,8.823529411764707
java.lang.StringLatin1.inflate,3,62,3,56,-6,-9.67741935483871
jdk.internal.util.DecimalDigits.uncheckedPutPairLatin1,3,33,2,39,6,18.181818181818183
org.graalvm.nativeimage.ObjectHandle com.oracle.svm.core.handles.ThreadLocalHandles::tryCreateNonNull,3,79,3,85,6,7.59493670886076
void LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.BasePhase::apply,3,54,3,60,6,11.11111111111111
void com.oracle.svm.core.util.ArrayUtil::boundsCheckInSnippet,3,39,3,45,6,15.384615384615385
zap_pte_range_[k],3,49,3,55,6,12.244897959183673
HandleMark::~HandleMark,3,41,3,46,5,12.195121951219512
Run.measure,3,63,3,68,5,7.936507936507936
[vdso],3,81,3,86,5,6.172839506172839
blk_cgroup_congested_[k],3,51,3,46,-5,-9.803921568627452
boolean com.oracle.svm.core.code.IsolateEnterStub::JNIFunctions_ExceptionCheck_wwAepBoMjPEWDN8NR0UL5D,3,96,3,101,5,5.208333333333334
