benchmark,comp_id,loop_id,baseline_cycles,slowdown_cycles,baseline_total_cycles,percent_change,baseline_share_pct,slowdown_noBubo_pct
CD,223,1,427388,0,253895024642,-100.0,0.00016833256209042717,85.22077447319634
CD,223,2,2228,0,253895024642,-100.0,8.775280268455635e-07,85.22077447319634
CD,223,3,172220,0,253895024642,-100.0,6.783118347546812e-05,85.22077447319634
CD,223,4,106340,0,253895024642,-100.0,4.1883451694235745e-05,85.22077447319634
CD,223,5,220,0,253895024642,-100.0,8.66499846974973e-08,85.22077447319634
CD,224,0,117815091062,0,253895024642,-100.0,46.40307198934796,85.22077447319634
CD,224,1,9443177646,0,253895024642,-100.0,3.719323629643857,85.22077447319634
CD,224,2,47778356,0,253895024642,-100.0,0.018818153710325355,85.22077447319634
CD,224,3,3785233082,0,253895024642,-100.0,1.4908654028716388,85.22077447319634
CD,224,4,1885674974,0,253895024642,-100.0,0.742698671097971,85.22077447319634
CD,224,5,11160072,0,253895024642,-100.0,0.004395545763740764,85.22077447319634
CD,225,0,5422422,153018908,253895024642,2721.966051332781,0.002135694469651694,85.22077447319634
CD,225,1,0,7690,253895024642,0.0,0.0,85.22077447319634
CD,227,0,15190,0,253895024642,-100.0,5.982787579795381e-06,85.22077447319634
CD,229,0,0,43538,253895024642,0.0,0.0,85.22077447319634
CD,230,0,0,1531476,253895024642,0.0,0.0,85.22077447319634
CD,230,1,0,28590,253895024642,0.0,0.0,85.22077447319634
CD,232,0,2620,0,253895024642,-100.0,1.0319225450338315e-06,85.22077447319634
CD,233,0,650623774,490488034,253895024642,-24.61264810775267,0.2562570002769452,85.22077447319634
CD,233,1,0,91906,253895024642,0.0,0.0,85.22077447319634
CD,233,2,3043410,3516094,253895024642,15.531394061266804,0.001198688317855501,85.22077447319634
CD,233,4,0,1904,253895024642,0.0,0.0,85.22077447319634
CD,233,5,0,14772,253895024642,0.0,0.0,85.22077447319634
CD,234,0,0,323000013242,253895024642,0.0,0.0,85.22077447319634
CD,234,1,0,5525314,253895024642,0.0,0.0,85.22077447319634
CD,234,2,0,2422527010,253895024642,0.0,0.0,85.22077447319634
CD,234,3,0,55690,253895024642,0.0,0.0,85.22077447319634
CD,234,4,0,10507138,253895024642,0.0,0.0,85.22077447319634
CD,235,0,2964238,0,253895024642,-100.0,0.0011675053515442727,85.22077447319634
CD,237,0,14124566560,0,253895024642,-100.0,5.563152164921737,85.22077447319634
CD,238,0,0,29516,253895024642,0.0,0.0,85.22077447319634
CD,238,1,0,13380,253895024642,0.0,0.0,85.22077447319634
CD,238,2,0,9920,253895024642,0.0,0.0,85.22077447319634
CD,249,0,274200,0,253895024642,-100.0,0.00010799739001842618,85.22077447319634
CD,249,1,263684,0,253895024642,-100.0,0.00010385552074988581,85.22077447319634
CD,249,2,195764,0,253895024642,-100.0,7.710430729236755e-05,85.22077447319634
CD,249,3,57988,0,253895024642,-100.0,2.2839360511993064e-05,85.22077447319634
CD,249,4,56242,0,253895024642,-100.0,2.2151674724348376e-05,85.22077447319634
CD,250,0,79969959462,0,253895024642,-100.0,31.497253471098997,85.22077447319634
CD,250,1,7257362230,0,253895024642,-100.0,2.858410573516795,85.22077447319634
CD,250,2,6074940152,0,253895024642,-100.0,2.3926975964045996,85.22077447319634
CD,250,3,2036469046,0,253895024642,-100.0,0.8020909621492134,85.22077447319634
CD,250,5,11583762,0,253895024642,-100.0,0.00456242181836114,85.22077447319634
CD,250,6,10588798,0,253895024642,-100.0,0.004170541748476773,85.22077447319634
CD,250,7,9871534,0,253895024642,-100.0,0.0038880375910946554,85.22077447319634
CD,253,0,150581534,0,253895024642,-100.0,0.059308580076480315,85.22077447319634
CD,253,1,6706,0,253895024642,-100.0,2.6412490790064405e-06,85.22077447319634
CD,257,0,39418,0,253895024642,-100.0,1.5525314076390676e-05,85.22077447319634
CD,258,0,1505450,0,253895024642,-100.0,0.0005929419066493059,85.22077447319634
CD,258,1,60698,0,253895024642,-100.0,2.3906730778039506e-05,85.22077447319634
CD,261,0,302019758,0,253895024642,-100.0,0.11895457913200837,85.22077447319634
CD,261,1,66410,0,253895024642,-100.0,2.615647947163998e-05,85.22077447319634
CD,261,2,3537504,0,253895024642,-100.0,0.0013932939430333431,85.22077447319634
CD,261,4,1502,0,253895024642,-100.0,5.915830773438225e-07,85.22077447319634
CD,261,5,14824,0,253895024642,-100.0,5.838633514344091e-06,85.22077447319634
CD,262,0,199319246696,0,253895024642,-100.0,78.50458943693222,85.22077447319634
CD,262,1,5574778,0,253895024642,-100.0,0.002195701947236112,85.22077447319634
CD,262,2,2406985366,0,253895024642,-100.0,0.9480238415045451,85.22077447319634
CD,262,3,78538,0,253895024642,-100.0,3.0933256809872924e-05,85.22077447319634
CD,262,4,9810182,0,253895024642,-100.0,0.0038638732735439252,85.22077447319634
CD,266,0,29972,0,253895024642,-100.0,1.1804878824333587e-05,85.22077447319634
CD,266,1,14320,0,253895024642,-100.0,5.640126276673461e-06,85.22077447319634
CD,266,2,9482,0,253895024642,-100.0,3.7346143404621337e-06,85.22077447319634
Json,52,0,237134,245332,131121343046,3.457117073047307,0.00018085080162488011,105.91631785318398
Json,57,0,6438,7156,131121343046,11.152531842187015,4.9099558092090466e-06,105.91631785318398
Json,58,0,3574,6203736,131121343046,173479.63066592053,2.7257194877466812e-06,105.91631785318398
Json,70,0,0,19874,131121343046,0.0,0.0,105.91631785318398
Json,70,1,0,5134,131121343046,0.0,0.0,105.91631785318398
Json,70,2,0,13044,131121343046,0.0,0.0,105.91631785318398
Json,75,0,27218,0,131121343046,-100.0,2.075787157736127e-05,105.91631785318398
Json,75,1,7498,0,131121343046,-100.0,5.718367296901124e-06,105.91631785318398
Json,75,2,13804,0,131121343046,-100.0,1.05276529963221e-05,105.91631785318398
Json,84,0,502,562,131121343046,11.952191235059761,3.8285147813341746e-07,105.91631785318398
Json,84,1,96,144,131121343046,50.0,7.32146253004145e-08,105.91631785318398
Json,84,2,88,90,131121343046,2.272727272727273,6.711340652537996e-08,105.91631785318398
Json,85,0,72422,78220,131121343046,8.005854574576786,5.523280826569395e-05,105.91631785318398
Json,85,1,104440,107104,131121343046,2.550746840291076,7.965141110807594e-05,105.91631785318398
Json,85,2,92868,95760,131121343046,3.1140974286083476,7.082599814998847e-05,105.91631785318398
Json,87,0,382,362,131121343046,-5.2356020942408374,2.913331965078994e-07,105.91631785318398
Json,88,0,12250,12808,131121343046,4.555102040816326,9.342491249271642e-06,105.91631785318398
Json,138,0,228304,0,131121343046,-100.0,0.00017411658140193575,105.91631785318398
Json,139,1,0,240764,131121343046,0.0,0.0,105.91631785318398
Json,139,2,0,12336,131121343046,0.0,0.0,105.91631785318398
Json,139,5,0,692,131121343046,0.0,0.0,105.91631785318398
Json,140,1,231466,3306,131121343046,-98.5717124761304,0.00017652808812276816,105.91631785318398
Json,140,2,12094,1738,131121343046,-85.62923763849844,9.223517483158468e-06,105.91631785318398
Json,140,5,730,0,131121343046,-100.0,5.567362132219018e-07,105.91631785318398
Json,141,0,0,38618,131121343046,0.0,0.0,105.91631785318398
Json,141,1,3456,27886,131121343046,706.886574074074,2.6357265108149218e-06,105.91631785318398
Json,141,2,1770,15846,131121343046,795.2542372881356,1.3498946539763922e-06,105.91631785318398
Json,141,5,0,748,131121343046,0.0,0.0,105.91631785318398
Json,142,0,38330,326774,131121343046,752.5280459170363,2.9232464455884245e-05,105.91631785318398
Json,142,1,27216,386614,131121343046,1320.539388594944,2.075634627266751e-05,105.91631785318398
Json,142,2,15118,47684,131121343046,215.41209154650085,1.1529778180121525e-05,105.91631785318398
Json,142,5,700,0,131121343046,-100.0,5.338566428155224e-07,105.91631785318398
Json,143,0,341360,0,131121343046,-100.0,0.00026033900513072386,105.91631785318398
Json,143,1,401710,0,131121343046,-100.0,0.0003063650742648907,105.91631785318398
Json,143,2,47844,0,131121343046,-100.0,3.648833888409407e-05,105.91631785318398
Json,171,0,6188994,0,131121343046,-100.0,0.004720050798922015,105.91631785318398
Json,184,0,0,147254,131121343046,0.0,0.0,105.91631785318398
Json,184,1,0,148194,131121343046,0.0,0.0,105.91631785318398
Json,185,0,0,46240085784,131121343046,0.0,0.0,105.91631785318398
Json,185,1,0,6003793210,131121343046,0.0,0.0,105.91631785318398
Json,185,3,0,2538460146,131121343046,0.0,0.0,105.91631785318398
Json,186,0,4307867004,0,131121343046,-100.0,3.285404880644575,105.91631785318398
Json,186,1,3523735196,0,131121343046,-100.0,2.6873849170106525,105.91631785318398
Json,187,0,23619750794,0,131121343046,-100.0,18.013658375748726,105.91631785318398
Json,194,0,0,572472599936,131121343046,0.0,0.0,105.91631785318398
Json,194,1,0,41778064,131121343046,0.0,0.0,105.91631785318398
Json,194,2,0,2482800060,131121343046,0.0,0.0,105.91631785318398
Json,194,3,0,3772744,131121343046,0.0,0.0,105.91631785318398
Json,196,0,0,964911442,131121343046,0.0,0.0,105.91631785318398
Json,196,1,0,926076786,131121343046,0.0,0.0,105.91631785318398
Json,197,0,0,11774887994,131121343046,0.0,0.0,105.91631785318398
Json,198,0,317795870086,0,131121343046,-100.0,242.36776614964265,105.91631785318398
Json,198,1,39524020,0,131121343046,-100.0,0.030143086611105086,105.91631785318398
Json,198,2,1636716764,0,131121343046,-100.0,1.2482458812413224,105.91631785318398
Json,198,3,3465650,0,131121343046,-100.0,0.0026430861059623073,105.91631785318398
Json,201,0,5667446118,0,131121343046,-100.0,4.322291082704778,105.91631785318398
Json,205,0,0,182502,131121343046,0.0,0.0,105.91631785318398
Json,207,0,0,393092146786,131121343046,0.0,0.0,105.91631785318398
Json,207,1,0,520357800,131121343046,0.0,0.0,105.91631785318398
Json,207,2,0,78909334,131121343046,0.0,0.0,105.91631785318398
Json,207,3,0,48988560,131121343046,0.0,0.0,105.91631785318398
Json,207,4,0,635866452,131121343046,0.0,0.0,105.91631785318398
Json,207,5,0,817962886,131121343046,0.0,0.0,105.91631785318398
Json,209,0,188444,0,131121343046,-100.0,0.00014371725885532614,105.91631785318398
Json,211,0,219098086830,0,131121343046,-100.0,167.09567011766802,105.91631785318398
Json,211,1,361728126,0,131121343046,-100.0,0.2758728042261575,105.91631785318398
Json,211,2,53174816,0,131121343046,-100.0,0.04055389821727589,105.91631785318398
Json,211,3,36438090,0,131121343046,-100.0,0.027789594854299795,105.91631785318398
Json,211,4,451069498,0,131121343046,-100.0,0.34400921125537565,105.91631785318398
Json,211,5,296327058,0,131121343046,-100.0,0.22599452622754368,105.91631785318398
Json,230,0,0,17864952,131121343046,0.0,0.0,105.91631785318398
Json,234,0,18407116,0,131121343046,-100.0,0.014038230216679838,105.91631785318398
Json,243,0,0,82551632,131121343046,0.0,0.0,105.91631785318398
Json,244,0,0,134520357968,131121343046,0.0,0.0,105.91631785318398
Json,245,0,0,30582,131121343046,0.0,0.0,105.91631785318398
Json,245,1,0,12056,131121343046,0.0,0.0,105.91631785318398
Json,245,2,0,8958,131121343046,0.0,0.0,105.91631785318398
Json,247,0,46285278,0,131121343046,-100.0,0.03529957589266165,105.91631785318398
Json,248,0,75295849798,0,131121343046,-100.0,57.4245565587173,105.91631785318398
Json,249,0,37292,0,131121343046,-100.0,2.8440831319823515e-05,105.91631785318398
Json,249,1,12532,0,131121343046,-100.0,9.55755921109161e-06,105.91631785318398
Json,249,2,9354,0,131121343046,-100.0,7.133850052709137e-06,105.91631785318398
List,52,0,243624,234164,476601623870,-3.8830328703247625,5.111690514643567e-05,102.11888855675049
List,57,0,6950,6880,476601623870,-1.0071942446043165,1.458240940004794e-06,102.11888855675049
List,58,0,3340,3280,476601623870,-1.7964071856287425,7.007949265634549e-07,102.11888855675049
List,71,0,34220,0,476601623870,-100.0,7.180000714671085e-06,102.11888855675049
List,71,1,8638,0,476601623870,-100.0,1.8124151424117136e-06,102.11888855675049
List,71,2,13582,0,476601623870,-100.0,2.849759488797858e-06,102.11888855675049
List,75,0,0,25698,476601623870,0.0,0.0,102.11888855675049
List,75,1,0,6044,476601623870,0.0,0.0,102.11888855675049
List,75,2,0,11518,476601623870,0.0,0.0,102.11888855675049
List,84,0,360,538,476601623870,49.44444444444444,7.553478250384544e-08,102.11888855675049
List,84,1,96,146,476601623870,52.083333333333336,2.0142608667692115e-08,102.11888855675049
List,84,2,88,92,476601623870,4.545454545454546,1.846405794538444e-08,102.11888855675049
List,85,0,80796,80576,476601623870,-0.2722907074607654,1.695252301994638e-05,102.11888855675049
List,85,1,114408,111356,476601623870,-2.6676456191874696,2.400495387972208e-05,102.11888855675049
List,85,2,97850,96130,476601623870,-1.757792539601431,2.053077352222577e-05,102.11888855675049
List,87,0,402,398,476601623870,-0.9950248756218906,8.434717379596074e-08,102.11888855675049
List,88,0,11256,11056,476601623870,-1.7768301350390905,2.361720866286901e-06,102.11888855675049
List,138,0,20326,16684,476601623870,-17.91793761684542,4.264777747703229e-06,102.11888855675049
List,140,1,245926,231770,476601623870,-5.7562030854809985,5.1599908116779696e-05,102.11888855675049
List,140,2,11936,11904,476601623870,-0.2680965147453083,2.504397677683053e-06,102.11888855675049
List,140,5,784,754,476601623870,-3.826530612244898,1.644979707861523e-07,102.11888855675049
List,141,1,3516,3494,476601623870,-0.6257110352673493,7.377230424542237e-07,102.11888855675049
List,141,2,1940,1770,476601623870,-8.762886597938143,4.0704855015961157e-07,102.11888855675049
List,142,0,37974,37852,476601623870,-0.3212724495707589,7.967660641113963e-06,102.11888855675049
List,142,1,27516,27076,476601623870,-1.5990696322139846,5.773375209377253e-06,102.11888855675049
List,142,2,15090,14990,476601623870,-0.6626905235255135,3.1661662999528546e-06,102.11888855675049
List,142,5,684,588,476601623870,-14.035087719298245,1.4351608675730632e-07,102.11888855675049
List,143,0,319878,324228,476601623870,1.3598934593813892,6.711643099379187e-05,102.11888855675049
List,143,1,379858,384114,476601623870,1.1204186827709302,7.970136503429366e-05,102.11888855675049
List,143,2,47684,47758,476601623870,0.15518832312725442,1.0005001580314904e-05,102.11888855675049
List,187,0,907568646,1855245072,476601623870,104.41925579698794,0.1904250007858875,102.11888855675049
List,188,0,473214847368,956326947560,476601623870,102.09149245401916,99.28939048203415,102.11888855675049
List,196,0,12152,29202,476601623870,140.3061224489796,2.5497185471853604e-06,102.11888855675049
List,196,1,9804,10952,476601623870,11.709506323949409,2.0570639101880573e-06,102.11888855675049
List,196,2,7608,9024,476601623870,18.61198738170347,1.5963017369146001e-06,102.11888855675049
Mandelbrot,52,0,260196,234532,250338150920,-9.863333794524127,0.00010393781333119706,104.14433086081156
Mandelbrot,57,0,5586,6870,250338150920,22.986036519871107,2.231381824732382e-06,104.14433086081156
Mandelbrot,58,0,3406,3236,250338150920,-4.9911920140927775,1.360559701940296e-06,104.14433086081156
Mandelbrot,73,0,23156,30528,250338150920,31.836241147002937,9.249888566685111e-06,104.14433086081156
Mandelbrot,73,1,5270,7446,250338150920,41.29032258064516,2.1051525628964648e-06,104.14433086081156
