benchmark,nested_mode,comp_id,loop_id,comp_name,encoding,n_runs,median_loop_cycles
Json,Nested,90,1,java.util.Properties$LineReader.readLine()-Re-Comp,"5:-1,3:-1,4:3,0:-1,1:0,2:1",2,37285
Json,Nested,90,2,java.util.Properties$LineReader.readLine()-Re-Comp,"5:-1,3:-1,4:3,0:-1,1:0,2:1",2,21746
Json,Nested,90,5,java.util.Properties$LineReader.readLine()-Re-Comp,"5:-1,3:-1,4:3,0:-1,1:0,2:1",2,131
Json,Nested,91,0,java.util.Properties$LineReader.readLine()-Re-Comp,"0:-1,1:0,2:1",2,368199
Json,Nested,91,1,java.util.Properties$LineReader.readLine()-Re-Comp,"0:-1,1:0,2:1",2,439383
Json,Nested,91,2,java.util.Properties$LineReader.readLine()-Re-Comp,"0:-1,1:0,2:1",2,66636
Json,Nested,94,0,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,","0:-1,1:-1,2:-1",2,55328
Json,Nested,94,1,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,","0:-1,1:-1,2:-1",2,102107
Json,Nested,94,2,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,","0:-1,1:-1,2:-1",2,89645
Json,Nested,122,0,"java.lang.StringLatin1.equals(byte[],",0:-1,2,241158
Json,Nested,127,0,java.lang.String.equals(Object)-Re-Comp,0:-1,2,7252346
Json,Nested,142,0,"json.JsonPureStringParser.subStringFromTo(int,","1:-1,0:-1",2,280507
Json,Nested,142,1,"json.JsonPureStringParser.subStringFromTo(int,","1:-1,0:-1",2,235433
Json,Nested,143,0,json.JsonPureStringParser.readStringInternal(),"0:-1,3:-1,2:-1,1:-1",2,27819676017
Json,Nested,143,1,json.JsonPureStringParser.readStringInternal(),"0:-1,3:-1,2:-1,1:-1",2,6691089881
Json,Nested,143,3,json.JsonPureStringParser.readStringInternal(),"0:-1,3:-1,2:-1,1:-1",2,5485555372
Json,Nested,154,0,json.JsonPureStringParser.readArray(),"3:-1,2:-1,0:-1,1:-1",2,377264808053
Json,Nested,154,1,json.JsonPureStringParser.readArray(),"3:-1,2:-1,0:-1,1:-1",2,46521809
Json,Nested,154,2,json.JsonPureStringParser.readArray(),"3:-1,2:-1,0:-1,1:-1",2,2178899469
Json,Nested,154,3,json.JsonPureStringParser.readArray(),"3:-1,2:-1,0:-1,1:-1",2,4324960
Json,Nested,156,0,json.JsonPureStringParser.endCapture(),"1:-1,0:-1",2,1980499437
Json,Nested,156,1,json.JsonPureStringParser.endCapture(),"1:-1,0:-1",2,1930466837
Json,Nested,157,0,json.JsonPureStringParser.readNumber(),0:-1,2,6774138131
Json,Nested,165,0,som.Vector.<init>(),0:-1,2,244835
Json,Nested,167,0,json.JsonPureStringParser.readObject(),"1:-1,4:-1,5:-1,0:-1,2:-1,3:-1",2,259180265336
Json,Nested,167,1,json.JsonPureStringParser.readObject(),"1:-1,4:-1,5:-1,0:-1,2:-1,3:-1",2,542899215
Json,Nested,167,2,json.JsonPureStringParser.readObject(),"1:-1,4:-1,5:-1,0:-1,2:-1,3:-1",2,65821981
Json,Nested,167,3,json.JsonPureStringParser.readObject(),"1:-1,4:-1,5:-1,0:-1,2:-1,3:-1",2,67356809
Json,Nested,167,4,json.JsonPureStringParser.readObject(),"1:-1,4:-1,5:-1,0:-1,2:-1,3:-1",2,539386903
Json,Nested,167,5,json.JsonPureStringParser.readObject(),"1:-1,4:-1,5:-1,0:-1,2:-1,3:-1",2,540006386
Json,Nested,192,0,"java.util.Arrays.copyOf(Object[],",0:-1,2,16614680
Json,Nested,205,0,Benchmark.innerBenchmarkLoop(int),0:-1,2,54632107
Json,Nested,206,0,Benchmark.innerBenchmarkLoop(int)-Re-Comp,0:-1,2,89260054339
Json,Nested,207,0,"java.lang.StringLatin1.inflate(byte[],","0:-1,1:-1,2:-1",2,10145
Json,Nested,207,1,"java.lang.StringLatin1.inflate(byte[],","0:-1,1:-1,2:-1",2,14747
Json,Nested,207,2,"java.lang.StringLatin1.inflate(byte[],","0:-1,1:-1,2:-1",2,13258
Json,NoNested,52,0,java.util.ImmutableCollections$SetN$SetNIterator.next(),0:-1,2,369138
Json,NoNested,56,0,"java.util.HashMap.putVal(int,",0:-1,2,10337
Json,NoNested,57,0,java.lang.String.equals(Object),0:-1,2,9406
Json,NoNested,70,0,java.util.HashMap.resize(),"2:-1,0:-1,1:0",2,20748
Json,NoNested,70,2,java.util.HashMap.resize(),"2:-1,0:-1,1:0",2,16547
Json,NoNested,88,5,java.util.Properties$LineReader.readLine(),"5:-1,3:-1,4:3,0:-1,1:0,2:1",2,514
Json,NoNested,90,0,java.util.Properties$LineReader.readLine()-Re-Comp,"5:-1,3:-1,4:3,0:-1,1:0,2:1",2,25335
Json,NoNested,90,5,java.util.Properties$LineReader.readLine()-Re-Comp,"5:-1,3:-1,4:3,0:-1,1:0,2:1",2,148
Json,NoNested,91,0,java.util.Properties$LineReader.readLine()-Re-Comp,"0:-1,1:0,2:1",2,360953
Json,NoNested,94,0,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,","0:-1,1:-1,2:-1",2,51462
Json,NoNested,94,1,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,","0:-1,1:-1,2:-1",2,96149
Json,NoNested,94,2,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,","0:-1,1:-1,2:-1",2,82402
Json,NoNested,122,0,"java.lang.StringLatin1.equals(byte[],",0:-1,2,221433
Json,NoNested,127,0,java.lang.String.equals(Object)-Re-Comp,0:-1,2,7232146
Json,NoNested,142,0,"json.JsonPureStringParser.subStringFromTo(int,","1:-1,0:-1",2,281573
Json,NoNested,142,1,"json.JsonPureStringParser.subStringFromTo(int,","1:-1,0:-1",2,235705
Json,NoNested,143,0,json.JsonPureStringParser.readStringInternal(),"0:-1,3:-1,2:-1,1:-1",2,27774438620
Json,NoNested,143,1,json.JsonPureStringParser.readStringInternal(),"0:-1,3:-1,2:-1,1:-1",2,6713139193
Json,NoNested,143,3,json.JsonPureStringParser.readStringInternal(),"0:-1,3:-1,2:-1,1:-1",2,5475263070
Json,NoNested,154,0,json.JsonPureStringParser.readArray(),"3:-1,2:-1,0:-1,1:-1",2,377519577384
Json,NoNested,154,1,json.JsonPureStringParser.readArray(),"3:-1,2:-1,0:-1,1:-1",2,46513341
Json,NoNested,154,2,json.JsonPureStringParser.readArray(),"3:-1,2:-1,0:-1,1:-1",2,2173264636
Json,NoNested,154,3,json.JsonPureStringParser.readArray(),"3:-1,2:-1,0:-1,1:-1",2,4151778
Json,NoNested,156,0,json.JsonPureStringParser.endCapture(),"1:-1,0:-1",2,1977417037
Json,NoNested,156,1,json.JsonPureStringParser.endCapture(),"1:-1,0:-1",2,1930321418
Json,NoNested,157,0,json.JsonPureStringParser.readNumber(),0:-1,2,6793478292
Json,NoNested,165,0,som.Vector.<init>(),0:-1,2,244988
Json,NoNested,167,0,json.JsonPureStringParser.readObject(),"1:-1,4:-1,5:-1,0:-1,2:-1,3:-1",2,259324908665
Json,NoNested,167,1,json.JsonPureStringParser.readObject(),"1:-1,4:-1,5:-1,0:-1,2:-1,3:-1",2,542682530
Json,NoNested,167,2,json.JsonPureStringParser.readObject(),"1:-1,4:-1,5:-1,0:-1,2:-1,3:-1",2,65587838
Json,NoNested,167,3,json.JsonPureStringParser.readObject(),"1:-1,4:-1,5:-1,0:-1,2:-1,3:-1",2,67343369
Json,NoNested,167,4,json.JsonPureStringParser.readObject(),"1:-1,4:-1,5:-1,0:-1,2:-1,3:-1",2,538994393
Json,NoNested,167,5,json.JsonPureStringParser.readObject(),"1:-1,4:-1,5:-1,0:-1,2:-1,3:-1",2,539817066
Json,NoNested,192,0,"java.util.Arrays.copyOf(Object[],",0:-1,2,16676733
Json,NoNested,205,0,Benchmark.innerBenchmarkLoop(int),0:-1,2,54666783
Json,NoNested,206,0,Benchmark.innerBenchmarkLoop(int)-Re-Comp,0:-1,2,89249707772
Json,NoNested,207,0,"java.lang.StringLatin1.inflate(byte[],","0:-1,1:-1,2:-1",2,10166
Json,NoNested,207,1,"java.lang.StringLatin1.inflate(byte[],","0:-1,1:-1,2:-1",2,14275
Json,NoNested,207,2,"java.lang.StringLatin1.inflate(byte[],","0:-1,1:-1,2:-1",2,11062
LoopBenchmarks,Nested,52,0,java.util.ImmutableCollections$SetN$SetNIterator.next(),0:-1,2,368688
LoopBenchmarks,Nested,56,0,"java.util.HashMap.putVal(int,",0:-1,2,10807
LoopBenchmarks,Nested,57,0,java.lang.String.equals(Object),0:-1,2,9350
LoopBenchmarks,Nested,69,0,java.util.HashMap.resize(),"2:-1,0:-1,1:0",1,37852
LoopBenchmarks,Nested,69,1,java.util.HashMap.resize(),"2:-1,0:-1,1:0",1,10662
LoopBenchmarks,Nested,69,2,java.util.HashMap.resize(),"2:-1,0:-1,1:0",1,16690
LoopBenchmarks,Nested,73,0,java.util.HashMap.resize(),"2:-1,0:-1,1:0",1,26376
LoopBenchmarks,Nested,73,1,java.util.HashMap.resize(),"2:-1,0:-1,1:0",1,7612
LoopBenchmarks,Nested,73,2,java.util.HashMap.resize(),"2:-1,0:-1,1:0",1,16428
LoopBenchmarks,Nested,88,1,java.util.Properties$LineReader.readLine(),"5:-1,3:-1,4:3,0:-1,1:0,2:1",2,238376
LoopBenchmarks,Nested,88,2,java.util.Properties$LineReader.readLine(),"5:-1,3:-1,4:3,0:-1,1:0,2:1",2,16463
LoopBenchmarks,Nested,88,5,java.util.Properties$LineReader.readLine(),"5:-1,3:-1,4:3,0:-1,1:0,2:1",2,479
LoopBenchmarks,Nested,89,0,java.util.Properties$LineReader.readLine()-Re-Comp,"0:-1,1:0,2:1",2,552252
LoopBenchmarks,Nested,89,1,java.util.Properties$LineReader.readLine()-Re-Comp,"0:-1,1:0,2:1",2,492411
LoopBenchmarks,Nested,89,2,java.util.Properties$LineReader.readLine()-Re-Comp,"0:-1,1:0,2:1",2,142910
LoopBenchmarks,Nested,92,0,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,","0:-1,1:-1,2:-1",2,122924
LoopBenchmarks,Nested,92,1,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,","0:-1,1:-1,2:-1",2,158756
LoopBenchmarks,Nested,92,2,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,","0:-1,1:-1,2:-1",2,171934
LoopBenchmarks,Nested,122,0,LoopBenchmarks.fibonacciLoop(int),"0:-1,1:-1,2:-1",2,110
LoopBenchmarks,Nested,122,1,LoopBenchmarks.fibonacciLoop(int),"0:-1,1:-1,2:-1",2,9659
LoopBenchmarks,Nested,122,2,LoopBenchmarks.fibonacciLoop(int),"0:-1,1:-1,2:-1",2,145
LoopBenchmarks,Nested,123,0,LoopBenchmarks.fibonacciLoop(int)-Re-Comp,"0:-1,1:-1,2:-1",2,1328517
LoopBenchmarks,Nested,123,1,LoopBenchmarks.fibonacciLoop(int)-Re-Comp,"0:-1,1:-1,2:-1",2,207184388
LoopBenchmarks,Nested,123,2,LoopBenchmarks.fibonacciLoop(int)-Re-Comp,"0:-1,1:-1,2:-1",2,1764938
LoopBenchmarks,Nested,124,0,LoopBenchmarks.main(String[]),"1:-1,3:-1,4:-1,0:-1,2:0,5:0,6:0",2,14833981556
LoopBenchmarks,Nested,124,1,LoopBenchmarks.main(String[]),"1:-1,3:-1,4:-1,0:-1,2:0,5:0,6:0",2,89
LoopBenchmarks,Nested,124,2,LoopBenchmarks.main(String[]),"1:-1,3:-1,4:-1,0:-1,2:0,5:0,6:0",2,80992550
LoopBenchmarks,Nested,124,3,LoopBenchmarks.main(String[]),"1:-1,3:-1,4:-1,0:-1,2:0,5:0,6:0",2,10119
LoopBenchmarks,Nested,124,4,LoopBenchmarks.main(String[]),"1:-1,3:-1,4:-1,0:-1,2:0,5:0,6:0",2,131
LoopBenchmarks,Nested,124,5,LoopBenchmarks.main(String[]),"1:-1,3:-1,4:-1,0:-1,2:0,5:0,6:0",2,14345705032
LoopBenchmarks,Nested,124,6,LoopBenchmarks.main(String[]),"1:-1,3:-1,4:-1,0:-1,2:0,5:0,6:0",2,127745592
LoopBenchmarks,Nested,127,0,"java.lang.StringLatin1.equals(byte[],",0:-1,2,22107
LoopBenchmarks,Nested,137,0,"java.util.regex.Pattern$BmpCharPropertyGreedy.match(Matcher,",0:-1,2,9313
LoopBenchmarks,Nested,142,0,"LoopBenchmarks.mandelbrotLoop(double,",0:-1,2,2754608
LoopBenchmarks,Nested,143,0,LoopBenchmarks.main(String[])-Re-Comp,"3:-1,2:-1,4:2,0:-1,1:0,5:1",2,15195569
LoopBenchmarks,Nested,143,1,LoopBenchmarks.main(String[])-Re-Comp,"3:-1,2:-1,4:2,0:-1,1:0,5:1",2,15126282
LoopBenchmarks,Nested,143,2,LoopBenchmarks.main(String[])-Re-Comp,"3:-1,2:-1,4:2,0:-1,1:0,5:1",2,166967
LoopBenchmarks,Nested,143,3,LoopBenchmarks.main(String[])-Re-Comp,"3:-1,2:-1,4:2,0:-1,1:0,5:1",2,122
LoopBenchmarks,Nested,143,4,LoopBenchmarks.main(String[])-Re-Comp,"3:-1,2:-1,4:2,0:-1,1:0,5:1",2,87909
LoopBenchmarks,Nested,143,5,LoopBenchmarks.main(String[])-Re-Comp,"3:-1,2:-1,4:2,0:-1,1:0,5:1",2,8192178
LoopBenchmarks,Nested,145,0,LoopBenchmarks.main(String[])-Re-Comp,"3:-1,2:-1,4:2,0:-1,1:0,5:1",2,351168247
LoopBenchmarks,Nested,145,1,LoopBenchmarks.main(String[])-Re-Comp,"3:-1,2:-1,4:2,0:-1,1:0,5:1",2,351072421
LoopBenchmarks,Nested,145,2,LoopBenchmarks.main(String[])-Re-Comp,"3:-1,2:-1,4:2,0:-1,1:0,5:1",2,119286
LoopBenchmarks,Nested,145,3,LoopBenchmarks.main(String[])-Re-Comp,"3:-1,2:-1,4:2,0:-1,1:0,5:1",2,267
LoopBenchmarks,Nested,145,4,LoopBenchmarks.main(String[])-Re-Comp,"3:-1,2:-1,4:2,0:-1,1:0,5:1",2,60937
LoopBenchmarks,Nested,145,5,LoopBenchmarks.main(String[])-Re-Comp,"3:-1,2:-1,4:2,0:-1,1:0,5:1",2,198945678
LoopBenchmarks,Nested,146,0,LoopBenchmarks.main(String[])-Re-Comp,"6:-1,5:-1,7:5,3:-1,4:3,8:4,0:-1,1:0,2:1,9:2",2,27412679807
LoopBenchmarks,Nested,146,1,LoopBenchmarks.main(String[])-Re-Comp,"6:-1,5:-1,7:5,3:-1,4:3,8:4,0:-1,1:0,2:1,9:2",2,27412671118
LoopBenchmarks,Nested,146,2,LoopBenchmarks.main(String[])-Re-Comp,"6:-1,5:-1,7:5,3:-1,4:3,8:4,0:-1,1:0,2:1,9:2",2,27404786331
LoopBenchmarks,Nested,146,3,LoopBenchmarks.main(String[])-Re-Comp,"6:-1,5:-1,7:5,3:-1,4:3,8:4,0:-1,1:0,2:1,9:2",2,363240888
LoopBenchmarks,Nested,146,4,LoopBenchmarks.main(String[])-Re-Comp,"6:-1,5:-1,7:5,3:-1,4:3,8:4,0:-1,1:0,2:1,9:2",2,363136539
LoopBenchmarks,Nested,146,5,LoopBenchmarks.main(String[])-Re-Comp,"6:-1,5:-1,7:5,3:-1,4:3,8:4,0:-1,1:0,2:1,9:2",2,181470
LoopBenchmarks,Nested,146,6,LoopBenchmarks.main(String[])-Re-Comp,"6:-1,5:-1,7:5,3:-1,4:3,8:4,0:-1,1:0,2:1,9:2",2,138
LoopBenchmarks,Nested,146,7,LoopBenchmarks.main(String[])-Re-Comp,"6:-1,5:-1,7:5,3:-1,4:3,8:4,0:-1,1:0,2:1,9:2",2,97598
LoopBenchmarks,Nested,146,8,LoopBenchmarks.main(String[])-Re-Comp,"6:-1,5:-1,7:5,3:-1,4:3,8:4,0:-1,1:0,2:1,9:2",2,208304433
LoopBenchmarks,Nested,146,9,LoopBenchmarks.main(String[])-Re-Comp,"6:-1,5:-1,7:5,3:-1,4:3,8:4,0:-1,1:0,2:1,9:2",2,15729210446
LoopBenchmarks,Nested,148,0,LoopBenchmarks.main(String[])-Re-Comp,0:-1,2,5130959
LoopBenchmarks,Nested,149,0,LoopBenchmarks.parseJsonLoop(char[]),0:-1,2,2328273
LoopBenchmarks,Nested,150,0,LoopBenchmarks.parseJsonLoop(char[])-Re-Comp,0:-1,2,12903422114
LoopBenchmarks,Nested,151,0,LoopBenchmarks.main(String[])-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0",2,31844
LoopBenchmarks,Nested,151,1,LoopBenchmarks.main(String[])-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0",2,29142
LoopBenchmarks,Nested,151,2,LoopBenchmarks.main(String[])-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0",2,79
