Method: cd::RedBlackTree::treeInsert, Block ID: 360, Normal Time: 0.132, Slowdown Time: 0.526, Percentage Increase: 298.4848484848485%
Method: cd::RedBlackTree::treeInsert, Block ID: 361, Normal Time: 0.024, Slowdown Time: 0.199, Percentage Increase: 729.1666666666667%
Method: cd::RedBlackTree::treeInsert, Block ID: 362, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 364, Normal Time: 0.05, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 365, Normal Time: 0.002, Slowdown Time: 0.047, Percentage Increase: 2250.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 366, Normal Time: 0.036, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 367, Normal Time: 0.002, Slowdown Time: 0.031, Percentage Increase: 1449.9999999999998%
Method: cd::RedBlackTree::treeInsert, Block ID: 368, Normal Time: 0.022, Slowdown Time: 0.045, Percentage Increase: 104.54545454545455%
Method: cd::RedBlackTree::treeInsert, Block ID: 369, Normal Time: 0.042, Slowdown Time: 0.027, Percentage Increase: -35.71428571428572%
Method: cd::RedBlackTree::treeInsert, Block ID: 371, Normal Time: 0.086, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 372, Normal Time: 0.118, Slowdown Time: 0.061, Percentage Increase: -48.30508474576271%
Method: cd::RedBlackTree::treeInsert, Block ID: 373, Normal Time: 0.086, Slowdown Time: 0.254, Percentage Increase: 195.34883720930236%
Method: cd::RedBlackTree::treeInsert, Block ID: 374, Normal Time: 0.006, Slowdown Time: 0.34, Percentage Increase: 5566.666666666667%
Method: cd::RedBlackTree::treeInsert, Block ID: 375, Normal Time: 0.0, Slowdown Time: 0.106, Percentage Increase: 0.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 378, Normal Time: 0.076, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 379, Normal Time: 0.0, Slowdown Time: 0.071, Percentage Increase: 0.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 383, Normal Time: 0.14, Slowdown Time: 0.0, Percentage Increase: -100.0%
