benchmark,comp_id,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
LoopBenchmarks,179,0,0,5090,5244,3.025540275049116,1.4793559687374198e-06,354478577896,82.52044538316134
LoopBenchmarks,183,0,0,1730748,1764292,1.9381215520688166,0.000497714702668894,354478577896,82.52044538316134
LoopBenchmarks,184,1,0,10228872,10107324,-1.18828351747876,0.0028513215269570886,354478577896,82.52044538316134
LoopBenchmarks,184,2,0,78108,78138,0.03840835765862652,2.204308098497416e-05,354478577896,82.52044538316134
LoopBenchmarks,184,3,0,644,860,33.54037267080746,2.4260986520102613e-07,354478577896,82.52044538316134
LoopBenchmarks,184,4,0,30458,30400,-0.19042616061461684,8.575976630361855e-06,354478577896,82.52044538316134
LoopBenchmarks,184,5,0,2650878,2664116,0.49938171428485206,0.0007515590972556941,354478577896,82.52044538316134
LoopBenchmarks,186,1,0,271045000,273069500,0.7469239425187699,0.07703413323896699,354478577896,82.52044538316134
LoopBenchmarks,186,2,0,70830,71532,0.9911054637865312,2.017949869483698e-05,354478577896,82.52044538316134
LoopBenchmarks,186,3,0,496,846,70.56451612903226,2.3866040227914894e-07,354478577896,82.52044538316134
LoopBenchmarks,186,4,0,21666,21538,-0.590787408843349,6.0759666008136055e-06,354478577896,82.52044538316134
LoopBenchmarks,186,5,0,126759786,129727186,2.340963245236151,0.03659662221903308,354478577896,82.52044538316134
LoopBenchmarks,187,1,0,21607554216,21584580662,-0.10632186211518793,6.089107214916855,354478577896,82.52044538316134
LoopBenchmarks,187,2,0,21600265272,21577285456,-0.10638673048977915,6.087049204516537,354478577896,82.52044538316134
LoopBenchmarks,187,3,0,96192,96430,0.2474218230206254,2.7203336396901105e-05,354478577896,82.52044538316134
LoopBenchmarks,187,4,0,153201440,152657520,-0.3550358273394819,0.043065372498980174,354478577896,82.52044538316134
LoopBenchmarks,187,5,0,95080,82598,-13.127892301220026,2.330126703008646e-05,354478577896,82.52044538316134
LoopBenchmarks,187,6,0,612,822,34.31372549019608,2.3188989441307383e-07,354478577896,82.52044538316134
LoopBenchmarks,187,7,0,33326,29156,-12.512752805617236,8.225038639303625e-06,354478577896,82.52044538316134
LoopBenchmarks,187,8,0,130791298,130633898,-0.12034439783600893,0.03685240974937744,354478577896,82.52044538316134
LoopBenchmarks,187,9,0,9854629320,9852628380,-0.02030456889879243,2.7794707478460516,354478577896,82.52044538316134
LoopBenchmarks,191,0,0,10767197266,23892987386,121.9053556439225,6.7403191267061375,354478577896,82.52044538316134
LoopBenchmarks,193,1,0,28104,28134,0.1067463706233988,7.936727846006593e-06,354478577896,82.52044538316134
LoopBenchmarks,193,2,0,662,560,-15.407854984894259,1.579785168750868e-07,354478577896,82.52044538316134
LoopBenchmarks,193,3,0,88,66,-25.0,1.8618896631706656e-08,354478577896,82.52044538316134
LoopBenchmarks,193,4,0,84,84,0.0,2.369677753126302e-08,354478577896,82.52044538316134
LoopBenchmarks,194,1,0,9159246,9147494,-0.12830750478805789,0.002580549170078134,354478577896,82.52044538316134
LoopBenchmarks,194,2,0,8151752,8153614,0.022841715498705065,0.0023001711551641855,354478577896,82.52044538316134
LoopBenchmarks,194,3,0,5384,5382,-0.03714710252600297,1.518286388967352e-06,354478577896,82.52044538316134
LoopBenchmarks,194,4,0,88418,96506,9.14745866226334,2.7224776338477007e-05,354478577896,82.52044538316134
LoopBenchmarks,194,5,0,2238,2536,13.315460232350313,7.154169978486074e-07,354478577896,82.52044538316134
LoopBenchmarks,195,0,0,11077620,12015552,8.466908956978124,0.0033896412221347907,354478577896,82.52044538316134
LoopBenchmarks,195,1,0,1332395834,1337075178,0.3511977357323379,0.3771949170909512,354478577896,82.52044538316134
LoopBenchmarks,195,2,0,11080710016,22612691688,104.07258790590481,6.3791419561140055,354478577896,82.52044538316134
LoopBenchmarks,197,0,0,139258,101036,-27.446897126197417,2.8502709698198696e-05,354478577896,82.52044538316134
LoopBenchmarks,197,1,0,46861358,27578908,-41.147868570091376,0.007780133897990118,354478577896,82.52044538316134
LoopBenchmarks,197,2,0,6868642528,13170226588,91.74424253863282,3.715380113001919,354478577896,82.52044538316134
LoopBenchmarks,197,3,0,3832808532,7104755152,85.3668163354005,2.0042833601314136,354478577896,82.52044538316134
LoopBenchmarks,197,4,0,985643080,2007676080,103.69199771584658,0.5663744455071216,354478577896,82.52044538316134
LoopBenchmarks,197,5,0,27574,39224,42.24994560092841,1.1065266689122151e-05,354478577896,82.52044538316134
LoopBenchmarks,199,1,0,1000858,987820,-1.3026822985878117,0.0002786684616777647,354478577896,82.52044538316134
LoopBenchmarks,200,1,0,612324,604256,-1.3176030990129408,0.00017046333338012934,354478577896,82.52044538316134
LoopBenchmarks,200,2,0,8867808,8348068,-5.8609748880444865,0.0023550275025220925,354478577896,82.52044538316134
LoopBenchmarks,204,0,0,226744,233232,2.8613767067706313,6.579579544251828e-05,354478577896,82.52044538316134
LoopBenchmarks,204,1,0,8194046720,14105192010,72.13951167220097,3.979138060675222,354478577896,82.52044538316134
LoopBenchmarks,207,1,0,1456,582,-60.027472527472526,1.6418481575232233e-07,354478577896,82.52044538316134
LoopBenchmarks,208,0,0,31610009312,61753229720,95.35973276843305,17.42086364895023,354478577896,82.52044538316134
LoopBenchmarks,209,0,0,854,1338,56.674473067915685,3.7745581353368947e-07,354478577896,82.52044538316134
LoopBenchmarks,209,1,0,13840,14216,2.7167630057803467,4.010397492671846e-06,354478577896,82.52044538316134
LoopBenchmarks,209,2,0,186,424,127.95698924731182,1.1961230563399428e-07,354478577896,82.52044538316134
LoopBenchmarks,210,0,0,535598,538384,0.5201662440860496,0.00015188054612370842,354478577896,82.52044538316134
LoopBenchmarks,210,1,0,168691186,168961360,0.16015893088806668,0.047664759039281454,354478577896,82.52044538316134
LoopBenchmarks,210,2,0,314288,309718,-1.4540803339612076,8.737283980271094e-05,354478577896,82.52044538316134
LoopBenchmarks,211,1,0,832,778,-6.490384615384616,2.1947729665860273e-07,354478577896,82.52044538316134
LoopBenchmarks,211,2,0,9710538658,9711980034,0.014843419616197362,2.7397932173067407,354478577896,82.52044538316134
LoopBenchmarks,211,3,0,15636,15552,-0.5372217958557176,4.3872890972166965e-06,354478577896,82.52044538316134
LoopBenchmarks,211,4,0,40,40,0.0,1.1284179776791912e-08,354478577896,82.52044538316134
LoopBenchmarks,213,0,0,1764,1750,-0.7936507936507936,4.936828652346463e-07,354478577896,82.52044538316134
LoopBenchmarks,213,1,0,7866,8948,13.75540300025426,2.524271016068351e-06,354478577896,82.52044538316134
LoopBenchmarks,213,2,0,612,992,62.091503267973856,2.798476584644394e-07,354478577896,82.52044538316134
LoopBenchmarks,214,0,0,68892260,77419788,12.378063950870533,0.021840470151827933,354478577896,82.52044538316134
LoopBenchmarks,214,1,0,8127706330,6339756604,-21.99820777727337,1.7884738315159945,354478577896,82.52044538316134
LoopBenchmarks,214,2,0,19672076138,42125656148,114.13935088745943,11.883836929733787,354478577896,82.52044538316134
