benchmark,comp_id,loop_id,loop_call_count,baseline_exclusive_cycles,slowdown_exclusive_cycles,slowdown_pct,runtime_share_pct,total_cycles_slowdown,prog_slowdown_pct
CD,197,0,4,78044886094,128276458696,64.36241388256924,31.370687468790926,408905475290,85.15543199608813
CD,197,1,3,1185679374,1214379910,2.4205984036962764,0.2969830396960934,408905475290,85.15543199608813
CD,197,2,3,4057379108,4046398836,-0.27062474833446104,0.9895682695689639,408905475290,85.15543199608813
CD,197,3,3,2077510440,2310129404,11.197005777742325,0.5649543827608648,408905475290,85.15543199608813
CD,197,5,0,12217748,11908312,-2.5326762346055918,0.002912240779254546,408905475290,85.15543199608813
CD,197,6,0,9911498,11514000,16.16811101611482,0.0028158096909399787,408905475290,85.15543199608813
CD,197,7,0,9525072,9995650,4.940414098707075,0.0024444891555709743,408905475290,85.15543199608813
CD,198,0,0,2643862630,6326893624,139.30493030191965,1.5472753500091683,408905475290,85.15543199608813
CD,200,5,2,240922,131894,-45.254480703298164,3.225537635720319e-05,408905475290,85.15543199608813
CD,200,6,0,49080,46938,-4.364303178484107,1.1478936535812117e-05,408905475290,85.15543199608813
CD,200,7,0,54528,48574,-10.919160798122066,1.1879029001886271e-05,408905475290,85.15543199608813
CD,201,0,3,31025353782,36248897952,16.836372621899148,8.864860008610036,408905475290,85.15543199608813
CD,201,1,0,6512348,28040862,330.5799075847912,0.006857541337668109,408905475290,85.15543199608813
CD,201,2,0,886385132,1252141820,41.2638563978079,0.3062179148156351,408905475290,85.15543199608813
CD,201,3,0,1434310232,2716555804,89.3980635006723,0.6643481117667575,408905475290,85.15543199608813
CD,206,0,3,54450,57190,5.032139577594124,1.3986117441797586e-05,408905475290,85.15543199608813
CD,206,1,2,123154,119696,-2.807866573558309,2.927229084303906e-05,408905475290,85.15543199608813
CD,206,2,0,2222,2144,-3.5103510351035103,5.243265570067148e-07,408905475290,85.15543199608813
CD,206,3,0,186800,147784,-20.886509635974303,3.6141360028302396e-05,408905475290,85.15543199608813
CD,206,4,0,124432,109544,-11.964767905361965,2.678956546676472e-05,408905475290,85.15543199608813
CD,206,5,0,108,112,3.7037037037037033,2.7390193276470175e-08,408905475290,85.15543199608813
CD,207,0,3,117193880024,212641187616,81.44393510348276,52.00252881553925,408905475290,85.15543199608813
CD,207,1,2,3815664764,10440447228,173.62066307563072,2.5532666738188152,408905475290,85.15543199608813
CD,207,2,0,47089580,30154210,-35.96415597675749,0.007374371785707766,408905475290,85.15543199608813
CD,207,3,0,3892006280,1268190304,-67.41551239223591,0.3101426565884417,408905475290,85.15543199608813
CD,207,4,0,1934901738,2764137056,42.85671472170645,0.6759843589865471,408905475290,85.15543199608813
CD,207,5,0,10442848,11010902,5.439646349348377,0.0026927744100738575,408905475290,85.15543199608813
CD,211,0,6,2876,2754,-4.242002781641168,6.735052882446328e-07,408905475290,85.15543199608813
CD,212,0,6,635668900,640145648,0.7042578298230415,0.15655100914117182,408905475290,85.15543199608813
CD,212,2,0,2831044,2779594,-1.8173507723652476,0.0006797644365189005,408905475290,85.15543199608813
CD,225,0,0,153596510,153018908,-0.3760515131496152,0.03742158450959293,408905475290,85.15543199608813
CD,225,1,0,6542,7690,17.548150412717824,1.8806302347862111e-06,408905475290,85.15543199608813
CD,229,0,3,43220,43538,0.7357704766311893,1.0647448525633558e-05,408905475290,85.15543199608813
CD,230,0,3,1479362,1531476,3.5227348005423957,0.0003745305681988878,408905475290,85.15543199608813
CD,230,1,0,29506,28590,-3.104453331525791,6.991835944413235e-06,408905475290,85.15543199608813
CD,233,0,11,295999166,486957168,64.51302028330716,0.11908795490073712,408905475290,85.15543199608813
CD,233,1,6,80466,91906,14.217184897969329,2.2476099136314893e-05,408905475290,85.15543199608813
CD,233,2,6,3528718,3516094,-0.35775032178825283,0.000859879412841403,408905475290,85.15543199608813
CD,233,4,0,1336,1904,42.51497005988024,4.65633285699993e-07,408905475290,85.15543199608813
CD,233,5,0,14340,14772,3.01255230125523,3.6125708489287272e-06,408905475290,85.15543199608813
CD,234,0,11,195230830588,320566979094,64.19895265953136,78.39635281641817,408905475290,85.15543199608813
CD,234,1,3,5554066,5525314,-0.5176747989670991,0.0013512448069034513,408905475290,85.15543199608813
CD,234,2,6,2413467622,2422527010,0.375368118362932,0.5924418126907982,408905475290,85.15543199608813
CD,234,3,0,51192,55690,8.786529145178934,1.3619284496130573e-05,408905475290,85.15543199608813
CD,234,4,0,9449684,10507138,11.190363614275356,0.00256957625537986,408905475290,85.15543199608813
CD,238,0,0,30662,29516,-3.7375252755854156,7.218294149538337e-06,408905475290,85.15543199608813
CD,238,1,0,12916,13380,3.592443480953856,3.272149875349741e-06,408905475290,85.15543199608813
CD,238,2,0,8484,9920,16.925978312116925,2.4259885473445012e-06,408905475290,85.15543199608813
