"block_id","pos_index","address_timed","asm_timed_raw","time_sec","address_summary","asm_summary_raw","has_source","source"
"9","0","","mov edx, dword ptr [rsp+0x34]","0.155","","","",""
"9","1","","lea r10d, ptr [rdx+0x5]","0.231","","","",""
"9","2","","mov dword ptr [rsp+0x18], r10d","0.309","","","",""
"9","3","","lea ecx, ptr [rdx+0x2]","0.174","","","",""
"9","4","","mov dword ptr [rsp+0x14], ecx","0.144","","","",""
"9","5","","cmp byte ptr [r11+0x12], 0x0","0.239","","","",""
"9","6","","jnz 0x7faf280c29b4 <Block 35>","0.312","","","",""
"115","0","","cmp r11d, 0x6","0.048","","mov r10d, dword ptr [rsp + 0x18]; mov rsi, qword ptr [rsp]; mov edx, dword ptr [rsi + 0x10]; mov r11d, dword ptr [rdx*8 + 0xc]; mov r8d, dword ptr [rsi + 0xc]; cmp r10d, dword ptr [r8*8 + 0xc]; jae 0xe","",""
"115","1","","jb 0x7faf280c337d <Block 155>","","","","",""
"236","0","","jmp 0x7faf280c3be2 <Block 236>","","","","",""
"116","0","","mov byte ptr [rdx*8+0x15], 0x1","0.032","","mov ecx, dword ptr [rsp + 0x14]; mov r9d, dword ptr [rsi + 0x14]; cmp ecx, dword ptr [r9*8 + 0xc]; jae 0xe","",""
"116","1","","mov byte ptr [r10+r8*8+0x10], 0x1","0.043","","","",""
"116","2","","mov byte ptr [rcx+r9*8+0x10], 0x1","0.037","","","",""
"116","3","","shl rdx, 0x3","0.039","","","",""
"116","4","","mov r11, rdx","0.012","","","",""
"116","5","","jmp 0x7faf280c28b6 <Block 18>","0.011","","","",""
"237","0","","mov rbx, 0x0","","","","",""
"113","0","","mov r10d, dword ptr [rsp+0x18]","0.030","","","",""
"113","1","","mov rsi, qword ptr [rsp]","0.041","","","",""
"113","2","","mov edx, dword ptr [rsi+0x10]","0.023","","","",""
"113","3","","mov r11d, dword ptr [rdx*8+0xc]","0.034","","","",""
"113","4","","mov r8d, dword ptr [rsi+0xc]","0.078","","","",""
"113","5","","cmp r10d, dword ptr [r8*8+0xc]","0.015","","","",""
"113","6","","jnb 0x7faf280c337d <Block 155>","","","","",""
"234","0","","hlt","","","","",""
"234","1","","call 0x7faf28053f20 <DeoptimizationBlob>","","","","",""
"114","0","","mov ecx, dword ptr [rsp+0x14]","0.090","","mov r11, rsi; mov edx, dword ptr [rsp + 0x30]; nop; nop; nop; call 0xc; nop dword ptr [rax + rax]; test eax, eax; jne 8","",""
"114","1","","mov r9d, dword ptr [rsi+0x14]","0.026","","","",""
"114","2","","cmp ecx, dword ptr [r9*8+0xc]","0.006","","","",""
"114","3","","jnb 0x7faf280c337d <Block 155>","","","","",""
"235","0","","hlt","","","","",""
"235","1","","hlt","","","","",""
"235","2","","hlt","","","","",""
"235","3","","hlt","","","","",""
"235","4","","hlt","","","","",""
"235","5","","hlt","","","","",""
"235","6","","hlt","","","","",""
"235","7","","hlt","","","","",""
"235","8","","mov rbx, 0x0","","","","",""
"119","0","","mov r11, rsi","0.057","","mov byte ptr [rdx*8 + 0x15], 1; mov byte ptr [r10 + r8*8 + 0x10], 1; mov byte ptr [rcx + r9*8 + 0x10], 1; shl rdx, 3; mov r11, rdx; jmp 0xfffffffffffff83d","",""
"119","1","","mov edx, r8d","0.025","","","",""
"119","2","","nop","0.030","","","",""
"119","3","","call 0x7faf2804e380 <resolve_opt_virtual_call>","0.025","","","",""
"117","0","","mov ecx, dword ptr [rsi+0x18]","0.024","","cmp r11d, 6; jb 0xa","",""
"117","1","","cmp dword ptr [rcx*8+0xc], 0x7","0.034","","","",""
"117","2","","jb 0x7faf280c3251 <Block 139>","0.061","","","",""
"238","0","","jmp 0x7faf280c3bf1 <Block 238>","","","","",""
"118","0","","mov ebx, dword ptr [rsp+0x34]","0.019","","","",""
"118","1","","mov dword ptr [rcx*8+0x28], ebx","0.042","","","",""
"118","2","","mov byte ptr [r11+0x16], 0x0","0.057","","","",""
"118","3","","mov byte ptr [r10+rdx*8+0x10], 0x0","0.029","","","",""
"118","4","","mov byte ptr [r8+r9*8+0x10], 0x0","0.021","","","",""
"118","5","","cmp ebx, 0x7","0.041","","","",""
"118","6","","jz 0x7faf280c3212 <Block 135>","","","","",""
"239","0","","mov rbx, 0x0","","","","",""
"38","0","","cmp byte ptr [r10+rdi*8+0x10], 0x0","0.131","","","",""
"38","1","","jnz 0x7faf280c2d78 <Block 85>","0.072","","","",""
"210","0","","nop dword ptr [rax+rax*1]","","","mov dword ptr [r15 + 0x484], 0xffffffe5; mov qword ptr [r15 + 0x490], 0; call 5; nop dword ptr [rax + rax]","",""
"210","1","","mov dword ptr [r15+0x484], 0xfffffff5","","","","",""
"210","2","","mov qword ptr [r15+0x490], 0x0","","","","",""
"210","3","","call 0x7faf2805417a","","","","",""
"39","0","","mov r8d, r10d","0.007","","mov byte ptr [rdx*8 + 0x11], 1; mov byte ptr [r8 + r11*8 + 0x10], 1; mov byte ptr [r9 + rcx*8 + 0x10], 1; shl rdx, 3; mov r11, rdx; jmp 0xfffffffffffffaa3","",""
"39","1","","data16 nop","0.003","","","",""
"39","2","","jmp 0x7faf280c2854 <Block 11>","0.005","","","",""
"211","0","","nop dword ptr [rax+rax*1]","","","","",""
"211","1","","mov dword ptr [r15+0x484], 0xfffffff5","","","","",""
"211","2","","mov qword ptr [r15+0x490], 0x0","","","","",""
"211","3","","call 0x7faf2805417a","","","","",""
"34","0","","mov r9d, r10d","0.005","","mov r11, rsi; mov edx, r8d; nop; call 7; nop dword ptr [rax + rax]; test eax, eax; jne 8","",""
"34","1","","jmp 0x7faf280c2827 <Block 8>","0.006","","","",""
"35","0","","mov ebx, dword ptr [rsi+0xc]","0.053","","mov r8d, dword ptr [rsp + 0x30]; mov rsi, qword ptr [rsp]; mov edx, dword ptr [rsi + 0x10]; mov r10d, dword ptr [rdx*8 + 0xc]; mov r11d, dword ptr [rsi + 0xc]; cmp r8d, dword ptr [r11*8 + 0xc]; jae 0xe","",""
"35","1","","nop word ptr [rax+rax*1]","0.054","","","",""
"35","2","","cmp ecx, dword ptr [rbx*8+0xc]","0.083","","","",""
"35","3","","jnb 0x7faf280c32e5 <Block 147>","","","","",""
"36","0","","cmp byte ptr [rcx+rbx*8+0x10], 0x0","0.169","","mov r9d, dword ptr [rsp + 0x1c]; mov ecx, dword ptr [rsi + 0x14]; nop word ptr [rax + rax]; cmp r9d, dword ptr [rcx*8 + 0xc]; jae 0x14","",""
"36","1","","jz 0x7faf280c2bcd <Block 66>","0.132","","","",""
