"vtune_block_id","graal_block_id","line_index","line_text","line_time","source"
"103","94","2","mov edx, dword ptr [rsp+0x30]","0.027","at Queens.placeQueen(int) [bci: 43]"
"103","94","3","nop","0.023","at Queens.placeQueen(int) [bci: 43]"
"103","94","4","call 0x7faf2804e380 <resolve_opt_virtual_call>","0.011","at Queens.placeQueen(int) [bci: 43]"
"108","99","1","mov byte ptr [rdx*8+0x14], 0x1","0.022","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"108","99","2","mov byte ptr [r10+r8*8+0x10], 0x1","0.084","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"108","99","3","mov byte ptr [r9+rcx*8+0x10], 0x1","0.043","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"108","99","4","shl rdx, 0x3","0.013","at Queens.setRowColumn(int, int, boolean) [bci: 1]"
"108","99","5","mov r11, rdx","0.021","null"
"108","99","6","jmp 0x7faf280c2899 <Block 16>","0.035","at Queens.placeQueen(int) [bci: 58]"
"109","110","1","mov r9d, dword ptr [rsi+0x18]","0.024","at Queens.placeQueen(int) [bci: 18]"
"109","110","2","nop dword ptr [rax]","0.037","at Queens.placeQueen(int) [bci: 23]"
"109","110","3","cmp dword ptr [r9*8+0xc], 0x6","0.017","at Queens.placeQueen(int) [bci: 23]"
"109","110","4","jb 0x7faf280c3308 <Block 149>","0.043","at Queens.placeQueen(int) [bci: 23]"
"106","96","1","mov r9d, dword ptr [rsp+0xc]","0.069","null"
"106","96","2","mov ecx, dword ptr [rsi+0x14]","0.016","at Queens.setRowColumn(int, int, boolean) [bci: 17]"
"106","96","3","data16 nop","0.025","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"106","96","4","cmp r9d, dword ptr [rcx*8+0xc]","0.026","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"106","96","5","jnb 0x7faf280c343b <Block 165>","","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"107","97","1","cmp r11d, 0x5","0.052","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"107","97","2","jb 0x7faf280c343b <Block 165>","","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"122","136","1","mov r9d, dword ptr [rsp+0x30]","0.119","null"
"122","136","2","mov ecx, dword ptr [rsi+0x14]","0.030","at Queens.setRowColumn(int, int, boolean) [bci: 17]"
"122","136","3","data16 nop","0.010","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"122","136","4","cmp r9d, dword ptr [rcx*8+0xc]","0.006","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"122","136","5","jnb 0x7faf280c3414 <Block 163>","","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"123","137","1","cmp r11d, 0x7","0.084","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"123","137","2","jb 0x7faf280c3414 <Block 163>","","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"121","135","1","mov r10d, dword ptr [rsp+0x1c]","0.024","null"
"121","135","2","mov rsi, qword ptr [rsp]","0.063","null"
"121","135","3","mov edx, dword ptr [rsi+0x10]","0.013","at Queens.setRowColumn(int, int, boolean) [bci: 1]"
"121","135","4","mov r11d, dword ptr [rdx*8+0xc]","0.026","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"121","135","5","mov r8d, dword ptr [rsi+0xc]","0.135","at Queens.setRowColumn(int, int, boolean) [bci: 8]"
"121","135","6","cmp r10d, dword ptr [r8*8+0xc]","0.025","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"121","135","7","jnb 0x7faf280c3414 <Block 163>","","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"4","2","1","mov r11d, r10d","0.185","at Queens.getRowColumn(int, int) [bci: 1]"
"4","2","2","shl r11, 0x3","0.240","at Queens.getRowColumn(int, int) [bci: 1]"
"4","2","3","mov r8d, edx","0.209","at Queens.placeQueen(int) [bci: 42]"
"4","2","4","inc r8d","0.234","at Queens.placeQueen(int) [bci: 42]"
"4","2","5","mov dword ptr [rsp+0x30], r8d","0.179","null"
"4","2","6","lea r9d, ptr [rdx+0x7]","0.249","null"
"4","2","7","mov dword ptr [rsp+0x2c], r9d","0.212","at Queens.getRowColumn(int, int) [bci: 29]"
"4","2","8","cmp byte ptr [r10*8+0x10], 0x0","0.245","at Queens.getRowColumn(int, int) [bci: 6]"
"4","2","9","jnz 0x7faf280c2912 <Block 25>","0.408","at Queens.getRowColumn(int, int) [bci: 6]"
"3","0","1","mov qword ptr [rsp+0x40], rbp","0.220","null"
"3","0","2","mov qword ptr [rsp], rsi","0.240","null"
"3","0","3","mov dword ptr [rsp+0x34], edx","0.275","null"
"3","0","4","mov r10d, dword ptr [rsi+0x10]","0.164","at Queens.getRowColumn(int, int) [bci: 1]"
"3","0","5","cmp dword ptr [r10*8+0xc], 0x0","0.255","at Queens.getRowColumn(int, int) [bci: 5]"
"3","0","6","jz 0x7faf280c322e <Block 137>","0.468","at Queens.getRowColumn(int, int) [bci: 5]"
"6","22","1","lea r10d, ptr [rdx+0x6]","0.163","at Queens.getRowColumn(int, int) [bci: 29]"
"6","22","2","mov dword ptr [rsp+0x1c], r10d","0.189","null"
"6","22","3","cmp byte ptr [r11+0x11], 0x0","0.222","at Queens.getRowColumn(int, int) [bci: 6]"
"6","22","4","jnz 0x7faf280c295f <Block 30>","0.252","at Queens.getRowColumn(int, int) [bci: 6]"
"5","20","1","cmp dword ptr [r11+0xc], 0x2","0.213","at Queens.getRowColumn(int, int) [bci: 5]"
"5","20","2","jb 0x7faf280c3278 <Block 141>","0.233","at Queens.getRowColumn(int, int) [bci: 5]"
"8","40","1","cmp dword ptr [r11+0xc], 0x3","0.278","at Queens.getRowColumn(int, int) [bci: 5]"
"8","40","2","jb 0x7faf280c349f <Block 172>","0.190","at Queens.getRowColumn(int, int) [bci: 5]"
"7","23","1","mov r8d, dword ptr [rsp+0x30]","0.145","null"
"7","23","2","mov r9d, r10d","0.212","null"
"9","42","1","mov edx, dword ptr [rsp+0x34]","0.155","null"
"9","42","2","lea r10d, ptr [rdx+0x5]","0.231","null"
"9","42","3","mov dword ptr [rsp+0x18], r10d","0.309","null"
"9","42","4","lea ecx, ptr [rdx+0x2]","0.174","at Queens.getRowColumn(int, int) [bci: 29]"
"9","42","5","mov dword ptr [rsp+0x14], ecx","0.144","at Queens.getRowColumn(int, int) [bci: 15]"
"9","42","6","cmp byte ptr [r11+0x12], 0x0","0.239","at Queens.getRowColumn(int, int) [bci: 6]"
