benchmark,mode,run_name,file_path,total_cycles,bench_method,comp_id,comp_name,encoding,outer_loop_id,outer_loop_cycles,comp_sum_loop_cycles
LoopStep,NoNested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1_NoNested.txt,202776104626,bench3,122,InnerLoopStepBenchmark.bench3()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,21438,21840
LoopStep,NoNested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1_NoNested.txt,202776104626,bench4,125,InnerLoopStepBenchmark.bench4()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,56190,56384
LoopStep,NoNested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1_NoNested.txt,202776104626,bench5,126,InnerLoopStepBenchmark.bench5(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,114964,115390
LoopStep,NoNested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1_NoNested.txt,202776104626,bench6,131,InnerLoopStepBenchmark.bench6()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,483176,483502
LoopStep,NoNested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1_NoNested.txt,202776104626,bench7,134,InnerLoopStepBenchmark.bench7()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,1063444,1063758
LoopStep,NoNested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1_NoNested.txt,202776104626,bench8,138,InnerLoopStepBenchmark.bench8()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,5902330,5902608
LoopStep,NoNested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1_NoNested.txt,202776104626,bench9,143,InnerLoopStepBenchmark.bench9()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,11997972,11998300
LoopStep,NoNested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1_NoNested.txt,202776104626,bench10,146,InnerLoopStepBenchmark.bench10()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,60405472,60405792
LoopStep,NoNested,run1,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run1_NoNested.txt,202776104626,bench11,151,InnerLoopStepBenchmark.bench11()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,120871988,120872262
LoopStep,NoNested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2_NoNested.txt,202688465432,bench1,115,InnerLoopStepBenchmark.bench1(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,564,882
LoopStep,NoNested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2_NoNested.txt,202688465432,bench2,119,InnerLoopStepBenchmark.bench2()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,5342,5872
LoopStep,NoNested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2_NoNested.txt,202688465432,bench3,122,InnerLoopStepBenchmark.bench3()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,21548,21968
LoopStep,NoNested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2_NoNested.txt,202688465432,bench4,125,InnerLoopStepBenchmark.bench4()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,100372,100606
LoopStep,NoNested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2_NoNested.txt,202688465432,bench5,126,InnerLoopStepBenchmark.bench5(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,152338,152672
LoopStep,NoNested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2_NoNested.txt,202688465432,bench6,131,InnerLoopStepBenchmark.bench6()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,467598,467904
LoopStep,NoNested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2_NoNested.txt,202688465432,bench7,135,InnerLoopStepBenchmark.bench7()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,1060456,1060860
LoopStep,NoNested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2_NoNested.txt,202688465432,bench8,138,InnerLoopStepBenchmark.bench8()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,5913636,5913962
LoopStep,NoNested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2_NoNested.txt,202688465432,bench9,142,InnerLoopStepBenchmark.bench9()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,11919206,11919472
