benchmark,mode,run_name,file_path,total_cycles,bench_method,comp_id,comp_name,encoding,selected_loop_id,selected_loop_cycles
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,2302024484,bench3,117,InnerLoopStepBenchmark.bench3(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,2876050
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,2302024484,bench4,119,InnerLoopStepBenchmark.bench4(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,4189064
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,2302024484,bench5,123,InnerLoopStepBenchmark.bench5()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,5899540
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,2302024484,bench6,124,InnerLoopStepBenchmark.bench6(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,9279604
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,2302024484,bench7,126,InnerLoopStepBenchmark.bench7(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,13527022
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,2302024484,bench8,128,InnerLoopStepBenchmark.bench8(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,19564910
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,2302024484,bench9,130,InnerLoopStepBenchmark.bench9(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,29240200
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,2302024484,bench10,132,InnerLoopStepBenchmark.bench10(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,43890026
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,2302024484,bench11,134,InnerLoopStepBenchmark.bench11(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,65540734
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,2302024484,bench12,136,InnerLoopStepBenchmark.bench12(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,98292098
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,2302024484,bench13,140,InnerLoopStepBenchmark.bench13()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,145165438
