Benchmark,Index,Activation Count
CD,"cd.CollisionDetector.recurse(RedBlackTree,-Re-Comp",7608763
CD,"cd.Vector3D.<init>(double,",218112
CD,java.lang.Boolean.valueOf(boolean),69249
CD,cd.RedBlackTree.get(Comparable),1405251
CD,"cd.RedBlackTree$Entry.<init>(Object,",41088
CD,cd.RedBlackTree$Node.successor(),163433
CD,java.lang.String.value(),682
CD,"cd.Aircraft.<init>(CallSign,",102528
CD,"cd.Motion.<init>(CallSign,",65360
CD,cd.CollisionDetector$RemoveAbsentAircraft.apply(Object),14753875293
CD,cd.RedBlackTree.<init>(),9314
CD,"cd.CollisionDetector.drawMotionOnVoxelMap(RedBlackTree,",255409
CD,cd.CollisionDetector.voxelHash(Vector3D),6
CD,cd.Vector3D.minus(Vector3D),2081956
CD,cd.CollisionDetector.handleNewFrame(Vector),1636224
CD,cd.CollisionDetector.handleNewFrame(Vector)-Re-Comp,40372756
CD,"cd.CollisionDetector.putIntoMap(RedBlackTree,",398155
CD,cd.Vector3D.dot(Vector3D),852642
CD,cd.Vector2D.compareTo(Object)-Re-Comp,126271
CD,"cd.RedBlackTree.treeInsert(Comparable,-Re-Comp",82685421748
CD,cd.RedBlackTree.findNode(Comparable)-Re-Comp,24943857632
CD,"cd.RedBlackTree.put(Comparable,-Re-Comp",1121338
CD,cd.CollisionDetector$CollectCollisions.apply(Object),67208
CD,som.Vector.<init>(),107422
CD,cd.RedBlackTree.forEach(ForEachInterface),9137
CD,cd.RedBlackTree.forEach(ForEachInterface)-Re-Comp,2520148535
CD,cd.Motion.delta(),238394
CD,cd.Vector3D.squaredMagnitude(),153252
CD,"cd.CollisionDetector.putIntoMap(RedBlackTree,-Re-Comp",5852670496
CD,cd.CollisionDetector.reduceCollisionSet(Vector),89313
CD,cd.CollisionDetector.reduceCollisionSet(Vector)-Re-Comp,5195695925
CD,"cd.RedBlackTree.put(Comparable,-Re-Comp",5873191
CD,"cd.CollisionDetector.isInVoxel(Vector2D,-Re-Comp",4254
CD,"cd.CollisionDetector.recurse(RedBlackTree,-Re-Comp",205857
CD,"cd.CollisionDetector.recurse(RedBlackTree,-Re-Comp",10807677
CD,cd.Vector3D.times(double),50840
CD,cd.Vector3D.plus(Vector3D),66092
CD,cd.Motion.findIntersection(Motion),2630932
CD,cd.Simulator.simulate(double),1436
CD,cd.Simulator.simulate(double)-Re-Comp,3204585581
CD,cd.RedBlackTree.rightRotate(RedBlackTree$Node),231298986
CD,"cd.CollisionDetector.recurse(RedBlackTree,-Re-Comp",57034708
CD,cd.RedBlackTree.leftRotate(RedBlackTree$Node),9075
CD,"cd.RedBlackTree.put(Comparable,-Re-Comp",16074939957
CD,"cd.CollisionDetector.recurse(RedBlackTree,-Re-Comp",42497215604
CD,jdk.internal.util.WeakReferenceKey.hashCode(),84
CD,jdk.internal.constant.ClassOrInterfaceDescImpl.descriptorString(),584
CD,jdk.internal.classfile.impl.BufWriterImpl.size(),364
CD,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",12858
CD,java.util.ArrayList.size(),158
CD,jdk.internal.classfile.impl.AbstractDirectBuilder.constantPool(),218
CD,cd.CollisionDetector.handleNewFrame(Vector)-Re-Comp,9829
CD,cd.CollisionDetector.handleNewFrame(Vector)-Re-Comp,5149363971
CD,cd.Motion.findIntersection(Motion)-Re-Comp,1608923458
CD,"java.lang.Math.min(int,",5130
CD,"java.util.Arrays.copyOf(Object[],",213919272
CD,cd.CallSign.<init>(int),27392
CD,cd.Simulator.<init>(int),14046
CD,cd.Simulator.<init>(int)-Re-Comp,12962698
CD,java.nio.Buffer.position(),3788
CD,java.nio.Buffer.limit(),2780
CD,java.lang.String.length(),27900
CD,CD.benchmark(int),1324
CD,CD.benchmark(int)-Re-Comp,876973
CD,java.nio.Buffer.capacity(),752
CD,java.nio.charset.CharsetEncoder.maxBytesPerChar(),752
CD,"java.lang.StringLatin1.inflate(byte[],",13364
CD,jdk.internal.constant.PrimitiveClassDescImpl.descriptorString(),174
CD,jdk.internal.classfile.impl.AbstractPoolEntry.hashCode(),132
CD,jdk.internal.constant.ClassOrInterfaceDescImpl.isClassOrInterface(),54
CD,jdk.internal.classfile.impl.AbstractPoolEntry$ClassEntryImpl.tag(),47
CD,java.lang.invoke.MethodTypeForm.erasedType(),22
DeltaBlue,Stub<new_instance_or_null(KlassPointer)Object>,11368
DeltaBlue,Stub<write_barrier_pre-stack-only(Object)void>,4096
DeltaBlue,Stub<dynamic_new_instance_or_null(Class)Object>,2198
DeltaBlue,"Stub<monitorexit(Object,Word)void>",5272
DeltaBlue,jdk.internal.util.StrongReferenceKey.get(),1610
DeltaBlue,java.lang.Class.getClassLoader(),992
DeltaBlue,java.lang.invoke.MethodType.returnType(),1358
DeltaBlue,jdk.internal.classfile.impl.AbstractPoolEntry.index(),7426
DeltaBlue,java.lang.invoke.MemberName.getDeclaringClass(),886
DeltaBlue,java.lang.invoke.MethodType.form(),376
DeltaBlue,java.util.stream.FindOps$FindSink.cancellationRequested(),406
DeltaBlue,java.lang.Object.<init>(),87732
DeltaBlue,jdk.internal.module.ModuleReferenceImpl.moduleResolution(),204
DeltaBlue,java.lang.String.hashCode(),44299
DeltaBlue,java.lang.module.ModuleDescriptor$Requires.modifiers(),384
DeltaBlue,java.lang.module.ModuleDescriptor$Requires.name(),702
DeltaBlue,java.lang.module.ModuleDescriptor.requires(),152
DeltaBlue,java.lang.module.ModuleDescriptor.isAutomatic(),1202
DeltaBlue,java.util.HashMap$Node.getKey(),904
DeltaBlue,java.util.HashMap$Node.getValue(),902
DeltaBlue,java.util.ImmutableCollections$Set12.isEmpty(),2105
